"filename", "language", "JSON", "JavaScript", "Markdown", "Vue", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\my-projects\vue\example\vuhero\.README.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\my-projects\vue\example\vuhero\.prettierrc", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\my-projects\vue\example\vuhero\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\my-projects\vue\example\vuhero\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\my-projects\vue\example\vuhero\package-lock.json", "JSON", 1907, 0, 0, 0, 0, 0, 0, 0, 1, 1908
"c:\my-projects\vue\example\vuhero\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\my-projects\vue\example\vuhero\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\my-projects\vue\example\vuhero\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\my-projects\vue\example\vuhero\src\App.vue", "Vue", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\my-projects\vue\example\vuhero\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\my-projects\vue\example\vuhero\src\components\utils\base\BaseIcon.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\my-projects\vue\example\vuhero\src\components\utils\header\SubscriptionCard.vue", "Vue", 0, 0, 0, 74, 0, 0, 0, 0, 3, 77
"c:\my-projects\vue\example\vuhero\src\components\utils\header\TheHeader.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\my-projects\vue\example\vuhero\src\components\utils\header\UserCard.vue", "Vue", 0, 0, 0, 14, 0, 0, 0, 1, 1, 16
"c:\my-projects\vue\example\vuhero\src\components\utils\sidebar\Logo.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\my-projects\vue\example\vuhero\src\components\utils\sidebar\Navbar.vue", "Vue", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\my-projects\vue\example\vuhero\src\components\utils\sidebar\Sidebar.vue", "Vue", 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\my-projects\vue\example\vuhero\src\components\utils\sidebar\Team.vue", "Vue", 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"c:\my-projects\vue\example\vuhero\src\components\utils\sidebar\ToggleSidebar.vue", "Vue", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\my-projects\vue\example\vuhero\src\data\menus.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\my-projects\vue\example\vuhero\src\data\teams.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 1, 22
"c:\my-projects\vue\example\vuhero\src\layouts\AppLayout.vue", "Vue", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\my-projects\vue\example\vuhero\src\main.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\my-projects\vue\example\vuhero\src\router\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\my-projects\vue\example\vuhero\src\stores\general.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\my-projects\vue\example\vuhero\src\stores\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 8, 18
"c:\my-projects\vue\example\vuhero\src\style.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\my-projects\vue\example\vuhero\src\views\dashboard\Dashboard.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\my-projects\vue\example\vuhero\tailwind.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 1, 13
"c:\my-projects\vue\example\vuhero\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1937, 134, 20, 275, 7, 2, 13, 7, 61, 2456
